CONTROLE DE PERFURAÇÃO															
															
Data	Ferramenta	De:	Até:	Quantidade Metros	Tipo	De	Até	Quantidade M Reaberto	Horário Inicio	Horário Término	Tempo Perfuração	Tempo Reabertura	Diesel S10	Diesel S500	Observação Reabertura
02/23/2026	"Ø 12 1/4"" - martelo"	0	2	2	Perfuração			0	10:55:00 AM	11:20:00 AM	12:25:00 AM				
	"Ø 12 1/4"" - martelo"	2	3.3	1.3	Perfuração			0	01:10:00 PM	01:40:00 PM	12:30:00 AM				
	"Ø 12 1/4"" - martelo"	3.3	6.2	2.9	Perfuração			0	03:40:00 PM	05:55:00 PM	02:15:00 AM				
02/24/2026	"Ø 18"" - martelo"	6.2	9.2	3	Perfuração			0	07:00:00 AM	01:00:00 PM	06:00:00 AM				Atingiu Basalto
	"Ø 17 1/2"" - martelo"			0	Reabertura	0	4	4			12:00:00 AM	12:55:00 AM			14:40 as 15:35 
02/25/2026	"Ø 17 1/2"" - martelo"			0	Reabertura	4	4.25	0.25			12:00:00 AM	12:30:00 AM			10:30 as 11:00
	"Ø 17 1/2"" - martelo"			0	Reabertura	4.25	6.7	2.45			12:00:00 AM	12:20:00 AM			
	"Ø 17 1/2"" - martelo"			0	Reabertura	6.7	7.29	0.59			12:00:00 AM	01:05:00 AM			
02/26/2026	"Ø 30"" - martelo"			0	Reabertura	0	9	9			12:00:00 AM	06:05:00 AM			10:25 as 16:30
03/03/2026	"Ø 18"" - martelo"	9.2	11	1.8	Perfuração			0	03:20:00 PM	03:38:00 PM	12:18:00 AM				
	"Ø 18"" - martelo"	11	13.3	2.3	Perfuração			0	04:23:00 PM	05:40:00 PM	01:17:00 AM				
	"Ø 18"" - martelo"	13.3	14	0.699999999999999	Perfuração			0	06:00:00 PM	06:30:00 PM	12:30:00 AM				
03/04/2026	"Ø 18"" - martelo"	14	15.5	1.5	Perfuração			0	10:00:00 AM	10:25:00 AM	12:25:00 AM				
	"Ø 18"" - martelo"	15.5	22.5	7	Perfuração			0	12:40:00 PM	04:40:00 PM	04:00:00 AM				
	"Ø 18"" - martelo"	22.5	26	3.5	Perfuração			0	05:40:00 PM	06:30:00 PM	12:50:00 AM				
03/05/2026	"Ø 18"" - martelo"	26	29.54	3.54	Perfuração			0	08:40:00 AM	10:00:00 AM	01:20:00 AM				
03/07/2026	"Ø 18"" - martelo"	29.54	36.54	7	Perfuração			0	09:25:00 AM	10:40:00 AM	01:15:00 AM				
	"Ø 18"" - martelo"	36.54	43.46	6.92	Perfuração			0	01:00:00 PM	02:40:00 PM	01:40:00 AM				
	"Ø 18"" - martelo"	43.46	47	3.54	Perfuração			0	05:40:00 PM	06:35:00 PM	12:55:00 AM				
03/08/2026	"Ø 18"" - martelo"	47	50	3	Perfuração			0	09:00:00 AM	09:45:00 AM	12:45:00 AM				
	"Ø 18"" - martelo"	50	52	2	Perfuração			0	10:30:00 AM	10:50:00 AM	12:20:00 AM				
03/09/2026	"Ø 18"" - martelo"	52	60	8	Perfuração			0	08:35:00 AM	10:30:00 AM	01:55:00 AM				
	"Ø 18"" - martelo"	60	63	3	Perfuração			0	01:50:00 PM	02:05:00 PM	12:15:00 AM				
03/10/2026	"Ø 18"" - martelo"	63	68	5	Perfuração			0	07:50:00 AM	08:55:00 AM	01:05:00 AM				Pegou arenito entre 67,0 e 68,0 metros 
03/22/2026	"Ø 17 1/2"" - martelo"	68	94	26	Perfuração			0	11:50:00 AM	05:29:00 PM	05:39:00 AM				
03/23/2026	"Ø 17 1/2"" - martelo"	94	95.26	1.26000000000001	Perfuração			0	08:15:00 AM	08:30:00 AM	12:15:00 AM				
	"Ø 17 1/2"" - martelo"	95.26	126	30.74	Perfuração			0	10:30:00 AM	07:05:00 PM	08:35:00 AM				
03/24/2026	"Ø 17 1/2"" - martelo"	126	142.88	16.88	Perfuração			0	05:20:00 PM	07:30:00 PM	02:10:00 AM				
	"Ø 17 1/2"" - martelo"	142.88	156.64	13.76	Perfuração			0	08:30:00 PM	24:15:00	03:45:00 AM				
