CONTROLE DE PERFURAÇÃO																		
																		
Data	Ferramenta	De:	Até:	Quantidade Metros	Viscosidade	PH	Tipo	De	Até	Quantidade M Reaberto	Horário Inicio	Horário Término	Tempo Perfuração	Tempo Reabertura	Tempo de Repasse 	Diesel S10	Diesel S500	Observação 
05/12/2026	"Ø 18"" - martelo"	0	3	3			Perfuração			0	05:30:00 PM	06:10:00 PM	12:40:00 AM			332	429	
05/13/2026	"Ø 18"" - martelo"	3	5	2			Perfuração			0	09:50:00 AM	10:00:00 AM	12:10:00 AM			441	542	
	"Ø 18"" - martelo"	5	6	1			Perfuração			0	10:00:00 AM	10:10:00 AM	12:10:00 AM					
	"Ø 18"" - martelo"	6	10	4			Perfuração			0	10:10:00 AM	10:30:00 AM	12:20:00 AM					
	"Ø 18"" - martelo"	10	11	1			Perfuração			0	10:30:00 AM	10:40:00 AM	12:10:00 AM					
	"Ø 18"" - martelo"	11	12	1			Perfuração			0	10:40:00 AM	10:50:00 AM	12:10:00 AM					
	"Ø 18"" - martelo"	12	13	1			Perfuração			0	10:50:00 AM	11:00:00 AM	12:10:00 AM					
	"Ø 18"" - martelo"	13	17	4			Perfuração			0	12:50:00 PM	01:40:00 PM	12:50:00 AM					
	"Ø 18"" - martelo"	17	18	1			Perfuração			0	01:40:00 PM	02:00:00 PM	12:20:00 AM					
	"Ø 18"" - martelo"	18	21	3			Perfuração			0	02:00:00 PM	02:15:00 PM	12:15:00 AM					
	"Ø 18"" - martelo"	21	22	1			Perfuração			0	02:15:00 PM	02:30:00 PM	12:15:00 AM					
	"Ø 18"" - martelo"	22	23	1			Perfuração			0	03:40:00 PM	03:50:00 PM	12:10:00 AM					
	"Ø 18"" - martelo"	23	25	2			Perfuração			0	04:10:00 PM	04:35:00 PM	12:25:00 AM					
	"Ø 18"" - martelo"	25	26	1			Perfuração			0	04:35:00 PM	04:40:00 PM	12:05:00 AM					
	"Ø 18"" - martelo"	26	27	1			Perfuração			0	04:40:00 PM	05:00:00 PM	12:20:00 AM					
	"Ø 18"" - martelo"	27	31.8	4.8			Perfuração			0	05:00:00 PM	06:00:00 PM	01:00:00 AM					
05/14/2026	"Ø 18"" - martelo"	31.8	40.2	8.4			Perfuração			0	08:00:00 AM	09:40:00 AM	01:40:00 AM			491	148	633 litros de diesel(qual diesel?)
	"Ø 18"" - martelo"	40.2	41.2	1			Perfuração			0	10:20:00 AM	10:30:00 AM	12:10:00 AM					
	"Ø 18"" - martelo"	41.2	44	2.8			Perfuração			0	11:10:00 AM	11:40:00 AM	12:30:00 AM					
	"Ø 18"" - martelo"	44	45	1			Perfuração			0	11:40:00 AM	12:05:00 PM	12:25:00 AM					
	"Ø 18"" - martelo"	45	49	4			Perfuração			0	12:05:00 PM	01:00:00 PM	12:55:00 AM					
	"Ø 18"" - martelo"	49	51.31	2.31			Perfuração			0	01:00:00 PM	01:40:00 PM	12:40:00 AM					
	"Ø 18"" - martelo"	51.31	59	7.69			Perfuração			0	02:20:00 PM	04:10:00 PM	01:50:00 AM					
