"dia","metros_cum"
2026-02-23,6.2
2026-02-24,13.2
2026-02-25,16.49
2026-02-26,25.49
2026-02-27,25.49
2026-02-28,25.49
2026-03-01,25.49
2026-03-02,25.49
2026-03-03,30.29
2026-03-04,42.29
2026-03-05,45.83
2026-03-06,45.83
2026-03-07,63.29
2026-03-08,68.29
2026-03-09,79.29
2026-03-10,84.29
2026-03-11,84.29
2026-03-12,84.29
2026-03-13,84.29
2026-03-14,84.29
2026-03-15,84.29
2026-03-16,84.29
2026-03-17,84.29
2026-03-18,84.29
2026-03-19,84.29
2026-03-20,84.29
2026-03-21,84.29
2026-03-22,110.29
2026-03-23,142.29
2026-03-24,186.01
2026-03-25,244.29
2026-03-26,279.29
2026-03-27,305.39
2026-03-28,305.39
2026-03-29,305.39
2026-03-30,305.49
2026-03-31,306.29
2026-04-01,326.29
2026-04-02,326.29
2026-04-03,326.29
2026-04-04,326.29
2026-04-05,326.29
2026-04-06,326.29
2026-04-07,326.29
2026-04-08,326.29
2026-04-09,341.83
2026-04-10,348.72
2026-04-11,371.73
2026-04-12,371.73
2026-04-13,377.38
2026-04-14,442.73
2026-04-15,442.73
2026-04-16,476.99
2026-04-17,478.69
2026-04-18,501.16
2026-04-19,535.13
