"dia","metros_cum"
2026-05-12,3
2026-05-13,31.8
2026-05-14,64
2026-05-15,95.5
2026-05-16,117
2026-05-17,147
2026-05-18,176.2
2026-05-19,197
2026-05-20,211
2026-05-21,211
2026-05-22,211
2026-05-23,211
2026-05-24,211
2026-05-25,211
2026-05-26,211
2026-05-27,211
2026-05-28,211
2026-05-29,211
2026-05-30,214
2026-05-31,240.2
2026-06-01,254
2026-06-02,278.66
2026-06-03,288.4
2026-06-04,298
2026-06-05,322.3
2026-06-06,329.6
2026-06-07,339.3
2026-06-08,347.3
2026-06-09,348.75
2026-06-10,363.75
2026-06-11,381.75
2026-06-12,389.75
2026-06-13,396.75
2026-06-14,408.75
2026-06-15,412.52
2026-06-16,420.35
2026-06-17,424.75
2026-06-18,427.15
2026-06-19,434.15
2026-06-20,450.75
2026-06-21,462.46
2026-06-22,472.15
2026-06-23,480.15
2026-06-24,483.75
2026-06-25,496.05
2026-06-26,500.75
2026-06-27,500.75
2026-06-28,500.75
2026-06-29,500.75
