"Dias calendário","Dias","Previsto (m)","Obs","Executado (m)","...6","...7","...8","...9","...10","...11","Premissas","metros/dia","...14"
"2026-02-23","1","6","Fim de solo, inicio do basalto","6.2","Perfuração solo",NA,NA,NA,NA,NA,"Solo","10","NULL"
"2026-02-24","2","18","Perfuração de 3m, Meio dia de troca de broca, perfuração reabertura","13.2","Perfuração solo+Basalto+Troca de broca e reabertura",NA,NA,NA,NA,NA,"Basalto","140","NULL"
"2026-02-25","3","27","Meio dia troca de broca, reabertura em 30""","16.49","Início Reabertura em 30""",NA,NA,NA,NA,NA,"Sedimento normal","71.6","NULL"
"2026-02-26","4","27","Tubo de boca","25.49","Fim da perfuração superior",NA,NA,NA,NA,NA,"Sedimento Underreamer","48.3","NULL"
"2026-02-27","5","27","Cimentação","25.49","Tubo de boca e cimentação",NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-02-28","6","88","Meio dia de troca de broca, perfuração, fim do basalto","25.49","Tubo de boca e cimentação",NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-01","7","123.8","Meio dia de troca de broca, perfuração","25.49","Tubo de boca e cimentação",NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-02","8","195.4","Perfuração","25.49","Tubo de boca e cimentação",NA,NA,NA,NA,NA,"Poço (real)","NULL","NULL"
"2026-03-03","9","267","Perfuração","30.29","Perfuração",NA,NA,NA,NA,NA,"Range","Geologia","m"
"2026-03-04","10","338.6","Perfuração","42.29","Perfuração",NA,NA,NA,NA,NA,"0-6","solo","6"
"2026-03-05","11","355","Final do poço","45.83","Perfuração",NA,NA,NA,NA,NA,"6-67","Basalto","61"
"2026-03-06","12","379.15","Meio dia de geofísica e troca de broca, perfuração","45.83","Perfuração",NA,NA,NA,NA,NA,"67-355","Sedimento","288"
"2026-03-07","13","427.45","Perfuração","63.29","Perfuração",NA,NA,NA,NA,NA,"180-355","Sed Underreamer","175"
"2026-03-08","14","475.75","Perfuração","68.29","Perfuração",NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-09","15","524.05","Perfuração","79.29","Perfuração",NA,NA,NA,NA,NA,NA,"NULL","530m projeção perfuração"
"2026-03-10","16","530","Fim da perfuração","84.29","Perfuração, fim do basalto",NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-11","17",NA,NA,"84.29",NA,NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-12","18",NA,NA,"84.29",NA,NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-13","19",NA,NA,"84.29",NA,NA,NA,NA,NA,NA,NA,"NULL","NULL"
"2026-03-14","20",NA,NA,"84.29",NA,NA,NA,NA,NA,NA,NA,"NULL","NULL"
